ward,precinct,total,Dan Patlak,Dan Patlak Percent,Brendan F. Houlihan,Brendan F. Houlihan Percent,precinct_id
19,1,368,95,25.82,273,74.18,19001
19,2,325,50,15.38,275,84.62,19002
19,3,317,169,53.31,148,46.69,19003
19,4,331,127,38.37,204,61.63,19004
19,6,304,105,34.54,199,65.46,19006
19,8,268,117,43.66,151,56.34,19008
19,9,253,102,40.32,151,59.68,19009
19,11,379,190,50.13,189,49.87,19011
19,12,346,149,43.06,197,56.94,19012
19,15,304,127,41.78,177,58.22,19015
19,16,419,147,35.08,272,64.92,19016
19,19,376,91,24.2,285,75.8,19019
19,21,263,110,41.83,153,58.17,19021
19,22,410,108,26.34,302,73.66,19022
19,24,316,138,43.67,178,56.33,19024
19,29,141,55,39.01,86,60.99,19029
19,30,361,154,42.66,207,57.34,19030
19,33,376,157,41.76,219,58.24,19033
19,39,177,14,7.91,163,92.09,19039
19,41,280,119,42.5,161,57.5,19041
19,44,329,133,40.43,196,59.57,19044
19,45,364,119,32.69,245,67.31,19045
19,47,527,79,14.99,448,85.01,19047
19,51,263,100,38.02,163,61.98,19051
19,53,350,103,29.43,247,70.57,19053
19,54,274,115,41.97,159,58.03,19054
19,58,347,147,42.36,200,57.64,19058
19,59,357,165,46.22,192,53.78,19059
19,61,423,122,28.84,301,71.16,19061
41,3,327,150,45.87,177,54.13,41003
41,5,449,206,45.88,243,54.12,41005
41,7,420,205,48.81,215,51.19,41007
41,8,344,183,53.2,161,46.8,41008
41,9,373,190,50.94,183,49.06,41009
41,11,367,186,50.68,181,49.32,41011
41,13,208,113,54.33,95,45.67,41013
41,15,415,206,49.64,209,50.36,41015
41,16,356,153,42.98,203,57.02,41016
41,17,363,170,46.83,193,53.17,41017
41,18,304,128,42.11,176,57.89,41018
41,20,386,213,55.18,173,44.82,41020
41,21,377,179,47.48,198,52.52,41021
41,22,309,164,53.07,145,46.93,41022
41,25,162,58,35.8,104,64.2,41025
41,26,160,90,56.25,70,43.75,41026
41,27,124,63,50.81,61,49.19,41027
41,28,314,119,37.9,195,62.1,41028
41,29,189,67,35.45,122,64.55,41029
41,30,410,176,42.93,234,57.07,41030
41,31,391,159,40.66,232,59.34,41031
41,32,240,135,56.25,105,43.75,41032
41,33,254,120,47.24,134,52.76,41033
41,34,306,173,56.54,133,43.46,41034
41,35,394,196,49.75,198,50.25,41035
41,36,380,183,48.16,197,51.84,41036
41,37,432,241,55.79,191,44.21,41037
41,38,370,172,46.49,198,53.51,41038
41,41,374,185,49.47,189,50.53,41041
41,43,350,169,48.29,181,51.71,41043
41,45,359,146,40.67,213,59.33,41045
41,46,268,130,48.51,138,51.49,41046
41,48,195,76,38.97,119,61.03,41048
41,50,382,158,41.36,224,58.64,41050
41,52,428,225,52.57,203,47.43,41052
41,53,354,156,44.07,198,55.93,41053
41,55,341,191,56.01,150,43.99,41055
45,2,14,7,50.0,7,50.0,45002
