ward,precinct,total,Robert ''Bob'' Rita,Robert ''Bob'' Rita Percent,Brenda Williams,Brenda Williams Percent,precinct_id
9,1,208,163,78.37,40,19.23,09001
9,2,182,132,72.53,48,26.37,09002
9,5,148,96,64.86,50,33.78,09005
9,9,191,134,70.16,52,27.23,09009
9,12,166,117,70.48,47,28.31,09012
9,13,211,148,70.14,63,29.86,09013
9,14,212,147,69.34,63,29.72,09014
9,17,168,112,66.67,53,31.55,09017
9,18,157,78,49.68,71,45.22,09018
9,22,229,160,69.87,67,29.26,09022
9,23,116,61,52.59,51,43.97,09023
9,29,133,104,78.2,27,20.3,09029
9,31,136,90,66.18,46,33.82,09031
9,32,148,100,67.57,47,31.76,09032
9,34,134,78,58.21,53,39.55,09034
9,35,222,158,71.17,59,26.58,09035
9,38,110,75,68.18,33,30.0,09038
9,40,185,129,69.73,54,29.19,09040
9,43,92,57,61.96,34,36.96,09043
9,46,125,77,61.6,46,36.8,09046
9,48,211,157,74.41,53,25.12,09048
9,51,44,29,65.91,12,27.27,09051
9,52,189,136,71.96,51,26.98,09052
34,2,215,160,74.42,52,24.19,34002
34,3,120,68,56.67,51,42.5,34003
34,4,155,125,80.65,28,18.06,34004
34,5,174,123,70.69,46,26.44,34005
34,9,135,105,77.78,27,20.0,34009
34,10,177,116,65.54,56,31.64,34010
34,11,141,87,61.7,51,36.17,34011
34,14,138,104,75.36,33,23.91,34014
34,15,128,87,67.97,35,27.34,34015
34,16,102,60,58.82,41,40.2,34016
34,17,135,80,59.26,50,37.04,34017
34,18,166,130,78.31,33,19.88,34018
34,20,216,145,67.13,69,31.94,34020
34,22,234,179,76.5,54,23.08,34022
34,23,156,111,71.15,44,28.21,34023
34,24,163,112,68.71,50,30.67,34024
34,26,118,97,82.2,21,17.8,34026
34,27,140,108,77.14,31,22.14,34027
34,28,119,96,80.67,21,17.65,34028
34,29,185,134,72.43,47,25.41,34029
34,30,226,155,68.58,68,30.09,34030
34,31,69,45,65.22,22,31.88,34031
34,36,194,139,71.65,53,27.32,34036
34,37,148,117,79.05,30,20.27,34037
34,38,127,108,85.04,19,14.96,34038
34,39,111,83,74.77,26,23.42,34039
34,40,186,127,68.28,57,30.65,34040
34,41,125,93,74.4,27,21.6,34041
34,42,212,137,64.62,72,33.96,34042
34,43,244,161,65.98,79,32.38,34043
34,50,159,106,66.67,53,33.33,34050
34,52,116,84,72.41,28,24.14,34052
34,53,127,93,73.23,34,26.77,34053
34,54,151,112,74.17,37,24.5,34054
34,59,157,114,72.61,41,26.11,34059
